lemma_kek,gloss_kek,gloss_en,gloss_en_past,gloss_en_pp,gloss_es,gloss_es_past_3sg,gloss_es_pp,gloss_es_gerund,category,transitivity,agent_class_any_of,agent_class_none_of,theme_class_any_of,theme_class_none_of,goal_class_any_of,goal_none_of,notes,p_weight,p_debug_percent
tz’ub’,tz'ub'uk,kiss,,,besar,,,,v_action | v_social | v_volitional,tr,human;kinship,animal_domesticated;animal_wild;artifact;tool,human;kinship,,,,"From: S. Steward, Q'eqchi' Grammar",1130.6633979496387,0.4568645039925112
tik'ti',tik'ti'ik,lie,lied,lied,mentir,mintió,mentido,mintiendo,v_communicative|v_cognition,intr,human;kinship,emotion,,,,,,1685.259044750751,0.6809586645991693
k'ony,k'onyank,limp,,,cojear,,,,v_motion|v_health|v_action,intr,human;kinship;animal_domesticated;animal_wild;occupation,emotion,,,,,,193.49362753909523,0.07818451568492175
ha’ob’resi,ha’ob’resink,liquefy,,,licuar,,,,v_process|v_environmental|v_creation,tr,human;kinship,emotion,plant;substance,,,,,38.60705432153813,0.015599861776021766
ab'i,ab'ink,listen to,,,escuchar,,,,v_perceptive|v_cognition,tr,human;kinship;occupation,emotion,human;kinship;occupation,,,,,2362.29066263446,0.9545252405161032
sach,sachok,lose,lost,lost,perder,pierdo,,,v_involuntary,tr,human;kinship,,,,,,,2435.940447292027,0.9842847360456766
b'aanu,b'ananunk,make,made,made,hacer,hice,,,v_action,tr,human;kinship;occupation,,,,,,to do/make something,11306.633979496399,4.568645039925117
tz’uyi,tz’uyink,moan,,,gemir,,,,v_communicative|v_emotive|v_involuntary,intr,human;kinship,emotion,,,,,,176.46828566194998,0.07130512577444077
b’aqle,b’aqlenk,move,,,mover,,,,v_motion|v_action,tr,human;kinship,emotion,substance,,,,,3686.9450645195734,1.4897752339059969
paab',paab'ank,obey,,,obedecer,obedeció,obedecido,,v_social|v_state,tr,human;kinship;animal_domesticated;animal_wild,emotion,human;kinship,,,,,357.5471604506213,0.14447324146994256
numwa’,numwa’ak,overeat,overate,overeaten,atracarse,,,,v_consumption|v_habitual|v_volitional,intr,human;kinship,emotion,,,,,to overeat/satiate,34.145488738336006,0.01379708744822798
posa,posank,pant,,,jadear,,,,v_involuntary|v_health|v_process,intr,human;kinship;animal_domesticated;animal_wild,emotion,,,,,,131.82567385564073,0.05326649045927497
xeya,xeyank,pant,,,jadear,,,,v_involuntary|v_health|v_process,intr,human;kinship;animal_domesticated;animal_wild,emotion,,,,,,131.82567385564073,0.05326649045927497
toj,tojok,pay,paid,paid,pagar,,,,v_commerce|v_action,tr,human;kinship,emotion,human;kinship,,,,,3981.0717055349733,1.6086222950226505
jil,jilok,pet,,,acariciar,,,,v_action|v_social|v_emotive,tr,human;kinship,emotion,animal_domesticated,,,,,926.1187281287937,0.3742146196047487
mayu,mayunk,pet,,,acariciar,,,,v_action|v_social|v_emotive,tr,human;kinship,emotion,animal_domesticated,,,,,926.1187281287937,0.3742146196047487
ch'uy,ch'uyuk,pinch,,,pellizcar,pellizqué,,,v_action|v_conflict,tr,human;kinship,,human;kinship;occupation;animal_domesticated;body_part,,,,,321.11949093648207,0.12975399859504266
b’anu ib’,b’anunk ib’,pretend,,,fingir,,,,v_cognition|v_communicative,intr,human;kinship,emotion,,,,,,770.3120057972146,0.31125816320419725
